Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,086282,1994,01,11.6,Y
IDCJAC0004,086282,1994,02,14.6,Y
IDCJAC0004,086282,1994,03,11.7,Y
IDCJAC0004,086282,1994,04,10.6,Y
IDCJAC0004,086282,1994,05,8.2,Y
IDCJAC0004,086282,1994,06,6.5,Y
IDCJAC0004,086282,1994,07,5.8,Y
IDCJAC0004,086282,1994,08,4.9,Y
IDCJAC0004,086282,1994,09,6.3,Y
IDCJAC0004,086282,1994,10,8.7,Y
IDCJAC0004,086282,1994,11,10.1,Y
IDCJAC0004,086282,1994,12,13.8,Y
IDCJAC0004,086282,1995,01,15.3,Y
IDCJAC0004,086282,1995,02,14.7,Y
IDCJAC0004,086282,1995,03,11.9,Y
IDCJAC0004,086282,1995,04,8.5,Y
IDCJAC0004,086282,1995,05,8.5,Y
IDCJAC0004,086282,1995,06,6.8,Y
IDCJAC0004,086282,1995,07,5.6,Y
IDCJAC0004,086282,1995,08,6.3,Y
IDCJAC0004,086282,1995,09,6.1,Y
IDCJAC0004,086282,1995,10,8.1,Y
IDCJAC0004,086282,1995,11,10.3,Y
IDCJAC0004,086282,1995,12,10.1,Y
IDCJAC0004,086282,1996,01,13.3,Y
IDCJAC0004,086282,1996,02,12.5,Y
IDCJAC0004,086282,1996,03,11.7,Y
IDCJAC0004,086282,1996,04,9.0,Y
IDCJAC0004,086282,1996,05,8.7,Y
IDCJAC0004,086282,1996,06,5.7,Y
IDCJAC0004,086282,1996,07,5.5,Y
IDCJAC0004,086282,1996,08,6.4,Y
IDCJAC0004,086282,1996,09,7.0,Y
IDCJAC0004,086282,1996,10,9.5,Y
IDCJAC0004,086282,1996,11,8.9,Y
IDCJAC0004,086282,1996,12,9.8,Y
IDCJAC0004,086282,1997,01,14.8,Y
IDCJAC0004,086282,1997,02,16.8,Y
IDCJAC0004,086282,1997,03,11.7,Y
IDCJAC0004,086282,1997,04,9.3,Y
IDCJAC0004,086282,1997,05,8.6,Y
IDCJAC0004,086282,1997,06,6.2,Y
IDCJAC0004,086282,1997,07,4.1,Y
IDCJAC0004,086282,1997,08,5.1,Y
IDCJAC0004,086282,1997,09,6.7,Y
IDCJAC0004,086282,1997,10,8.8,Y
IDCJAC0004,086282,1997,11,10.7,Y
IDCJAC0004,086282,1997,12,12.3,Y
IDCJAC0004,086282,1998,01,14.3,Y
IDCJAC0004,086282,1998,02,12.9,Y
IDCJAC0004,086282,1998,03,12.2,Y
IDCJAC0004,086282,1998,04,9.2,Y
IDCJAC0004,086282,1998,05,8.2,Y
IDCJAC0004,086282,1998,06,6.0,Y
IDCJAC0004,086282,1998,07,4.5,Y
IDCJAC0004,086282,1998,08,5.8,Y
IDCJAC0004,086282,1998,09,8.2,Y
IDCJAC0004,086282,1998,10,8.0,Y
IDCJAC0004,086282,1998,11,9.0,Y
IDCJAC0004,086282,1998,12,12.5,Y
IDCJAC0004,086282,1999,01,14.9,Y
IDCJAC0004,086282,1999,02,15.3,Y
IDCJAC0004,086282,1999,03,12.4,Y
IDCJAC0004,086282,1999,04,8.2,Y
IDCJAC0004,086282,1999,05,8.9,Y
IDCJAC0004,086282,1999,06,6.3,Y
IDCJAC0004,086282,1999,07,6.0,Y
IDCJAC0004,086282,1999,08,7.3,Y
IDCJAC0004,086282,1999,09,8.4,Y
IDCJAC0004,086282,1999,10,9.3,Y
IDCJAC0004,086282,1999,11,9.2,Y
IDCJAC0004,086282,1999,12,12.7,Y
IDCJAC0004,086282,2000,01,13.1,Y
IDCJAC0004,086282,2000,02,16.0,Y
IDCJAC0004,086282,2000,03,13.7,Y
IDCJAC0004,086282,2000,04,10.5,Y
IDCJAC0004,086282,2000,05,8.1,Y
IDCJAC0004,086282,2000,06,6.5,Y
IDCJAC0004,086282,2000,07,5.7,Y
IDCJAC0004,086282,2000,08,5.4,Y
IDCJAC0004,086282,2000,09,7.7,Y
IDCJAC0004,086282,2000,10,8.5,Y
IDCJAC0004,086282,2000,11,13.1,Y
IDCJAC0004,086282,2000,12,12.2,Y
IDCJAC0004,086282,2001,01,16.1,Y
IDCJAC0004,086282,2001,02,16.5,Y
IDCJAC0004,086282,2001,03,12.2,Y
IDCJAC0004,086282,2001,04,9.8,Y
IDCJAC0004,086282,2001,05,8.0,Y
IDCJAC0004,086282,2001,06,7.6,Y
IDCJAC0004,086282,2001,07,6.1,Y
IDCJAC0004,086282,2001,08,6.5,Y
IDCJAC0004,086282,2001,09,8.1,Y
IDCJAC0004,086282,2001,10,8.1,Y
IDCJAC0004,086282,2001,11,9.4,Y
IDCJAC0004,086282,2001,12,10.2,Y
IDCJAC0004,086282,2002,01,12.7,Y
IDCJAC0004,086282,2002,02,13.0,Y
IDCJAC0004,086282,2002,03,12.6,Y
IDCJAC0004,086282,2002,04,10.9,Y
IDCJAC0004,086282,2002,05,8.4,Y
IDCJAC0004,086282,2002,06,6.8,Y
IDCJAC0004,086282,2002,07,5.9,Y
IDCJAC0004,086282,2002,08,5.5,Y
IDCJAC0004,086282,2002,09,7.2,Y
IDCJAC0004,086282,2002,10,8.4,Y
IDCJAC0004,086282,2002,11,10.2,Y
IDCJAC0004,086282,2002,12,12.5,Y
IDCJAC0004,086282,2003,01,13.6,Y
IDCJAC0004,086282,2003,02,15.1,Y
IDCJAC0004,086282,2003,03,12.9,Y
IDCJAC0004,086282,2003,04,10.3,Y
IDCJAC0004,086282,2003,05,8.2,Y
IDCJAC0004,086282,2003,06,7.5,Y
IDCJAC0004,086282,2003,07,5.7,Y
IDCJAC0004,086282,2003,08,5.4,Y
IDCJAC0004,086282,2003,09,6.1,Y
IDCJAC0004,086282,2003,10,7.5,Y
IDCJAC0004,086282,2003,11,10.4,Y
IDCJAC0004,086282,2003,12,13.5,Y
IDCJAC0004,086282,2004,01,12.2,Y
IDCJAC0004,086282,2004,02,13.5,Y
IDCJAC0004,086282,2004,03,12.2,Y
IDCJAC0004,086282,2004,04,10.7,Y
IDCJAC0004,086282,2004,05,7.8,Y
IDCJAC0004,086282,2004,06,7.1,Y
IDCJAC0004,086282,2004,07,5.7,Y
IDCJAC0004,086282,2004,08,6.4,Y
IDCJAC0004,086282,2004,09,7.7,Y
IDCJAC0004,086282,2004,10,8.9,Y
IDCJAC0004,086282,2004,11,10.8,Y
IDCJAC0004,086282,2004,12,12.0,Y
IDCJAC0004,086282,2005,01,13.9,Y
IDCJAC0004,086282,2005,02,12.6,Y
IDCJAC0004,086282,2005,03,11.3,Y
IDCJAC0004,086282,2005,04,11.6,Y
IDCJAC0004,086282,2005,05,8.2,Y
IDCJAC0004,086282,2005,06,6.7,Y
IDCJAC0004,086282,2005,07,6.5,Y
IDCJAC0004,086282,2005,08,6.7,Y
IDCJAC0004,086282,2005,09,7.2,Y
IDCJAC0004,086282,2005,10,9.7,Y
IDCJAC0004,086282,2005,11,11.6,Y
IDCJAC0004,086282,2005,12,12.0,Y
IDCJAC0004,086282,2006,01,15.3,Y
IDCJAC0004,086282,2006,02,13.7,Y
IDCJAC0004,086282,2006,03,13.3,Y
IDCJAC0004,086282,2006,04,8.7,Y
IDCJAC0004,086282,2006,05,7.3,Y
IDCJAC0004,086282,2006,06,4.5,Y
IDCJAC0004,086282,2006,07,5.8,Y
IDCJAC0004,086282,2006,08,5.8,Y
IDCJAC0004,086282,2006,09,7.1,Y
IDCJAC0004,086282,2006,10,7.3,Y
IDCJAC0004,086282,2006,11,9.7,Y
IDCJAC0004,086282,2006,12,11.5,Y
IDCJAC0004,086282,2007,01,15.2,Y
IDCJAC0004,086282,2007,02,16.4,Y
IDCJAC0004,086282,2007,03,13.2,Y
IDCJAC0004,086282,2007,04,10.4,Y
IDCJAC0004,086282,2007,05,10.9,Y
IDCJAC0004,086282,2007,06,5.4,Y
IDCJAC0004,086282,2007,07,5.5,Y
IDCJAC0004,086282,2007,08,6.4,Y
IDCJAC0004,086282,2007,09,6.8,Y
IDCJAC0004,086282,2007,10,8.9,Y
IDCJAC0004,086282,2007,11,12.3,Y
IDCJAC0004,086282,2007,12,13.7,Y
IDCJAC0004,086282,2008,01,15.5,Y
IDCJAC0004,086282,2008,02,13.3,Y
IDCJAC0004,086282,2008,03,12.9,Y
IDCJAC0004,086282,2008,04,9.2,Y
IDCJAC0004,086282,2008,05,7.7,Y
IDCJAC0004,086282,2008,06,8.1,Y
IDCJAC0004,086282,2008,07,5.1,Y
IDCJAC0004,086282,2008,08,5.2,Y
IDCJAC0004,086282,2008,09,7.0,Y
IDCJAC0004,086282,2008,10,9.1,Y
IDCJAC0004,086282,2008,11,10.5,Y
IDCJAC0004,086282,2008,12,11.1,Y
IDCJAC0004,086282,2009,01,13.4,Y
IDCJAC0004,086282,2009,02,14.3,Y
IDCJAC0004,086282,2009,03,12.9,Y
IDCJAC0004,086282,2009,04,9.9,Y
